run_id,grid_string_id,step,window_size,prefix,confidence,predicted,actual,is_correct,sim_win_rate_pct
3fed7a4f-5725-4e59-abf0-008858c12588,3513,14,9,bpbpbppp,51.01289134438306,b,p,0,58.18181818181818
3fed7a4f-5725-4e59-abf0-008858c12588,3513,16,9,bpbppppb,52.36363636363637,b,b,1,48.83720930232558
3fed7a4f-5725-4e59-abf0-008858c12588,3513,17,9,pbppppbb,50.36231884057971,b,b,1,47.36842105263158
3fed7a4f-5725-4e59-abf0-008858c12588,3513,19,9,pbbbpppp,55.18590998043052,b,p,0,47.82608695652174
3fed7a4f-5725-4e59-abf0-008858c12588,3513,20,9,bpppppbp,50.4,b,p,0,55.172413793103445
3fed7a4f-5725-4e59-abf0-008858c12588,3514,1,9,pbpbpppb,53.041825095057035,b,b,1,41.666666666666664
3fed7a4f-5725-4e59-abf0-008858c12588,3514,2,9,bpbpppbb,51.32275132275132,p,b,0,36.666666666666664
3fed7a4f-5725-4e59-abf0-008858c12588,3514,4,9,bpppbbbb,50.18656716417911,p,p,1,39.285714285714285
3fed7a4f-5725-4e59-abf0-008858c12588,3514,5,9,pbbbbpbp,51.59574468085106,p,p,1,46.42857142857143
3fed7a4f-5725-4e59-abf0-008858c12588,3514,6,9,bpbppbbp,51.865008880994665,b,b,1,48.38709677419355
3fed7a4f-5725-4e59-abf0-008858c12588,3514,7,9,pbppbbpb,52.33968804159446,p,b,0,45.833333333333336
3fed7a4f-5725-4e59-abf0-008858c12588,3514,8,9,bppbbpbb,50.08849557522124,p,b,0,45.16129032258065
3fed7a4f-5725-4e59-abf0-008858c12588,3514,9,9,pbbpbbbp,51.77304964539007,b,b,1,43.24324324324324
3fed7a4f-5725-4e59-abf0-008858c12588,3514,10,9,bpbbbpbb,50.23474178403756,b,b,1,44.44444444444444
3fed7a4f-5725-4e59-abf0-008858c12588,3514,11,9,pbbbpbbb,51.182432432432435,p,p,1,36.8421052631579
3fed7a4f-5725-4e59-abf0-008858c12588,3514,12,9,bpbbbpbp,51.048951048951054,b,p,0,46.42857142857143
3fed7a4f-5725-4e59-abf0-008858c12588,3514,13,9,pbbbpbpp,50.99601593625498,p,b,0,40.0
